Actidiographium	Actidiographium Lar.N. Vassiljeva, Mikol. Fitopatol. 34 (6): 4 (2000) [MB#28476]	28476	Lar.N. Vassiljeva	2000	Legitimate
Actidiographium orientale	Actidiographium orientale Lar.N. Vassiljeva, Mikol. Fitopatol. 34 (6): 5 (2000) [MB#474886]	474886	Lar.N. Vassiljeva	2000	Legitimate
Amarenographium	Amarenographium O.E. Erikss., Mycotaxon 15: 199 (1982) [MB#7113]	7113	O.E. Erikss.	1982	Legitimate
Amarenographium ammophilae	Amarenographium ammophilae Wanas., Camporesi, Wijayaw. & K.D. Hyde, Fungal Diversity 77: 35 (2016) [MB#551944]	551944	Wanas., Camporesi, Wijayaw. & K.D. Hyde	2016	Legitimate
Amarenographium ammophilicola	Septoriella ammophilicola (Dayar., E.B.G. Jones & K.D. Hyde) Wanas. & Maharachch., J. Fungi 9 (8, no. 853): 22 (2023) [MB#849361]	556581	Dayar., E.B.G. Jones & K.D. Hyde	2020	Legitimate
Amarenographium metableticum	Amarenographium metableticum (Trail) O.E. Erikss., Mycotaxon 15: 199 (1982) [MB#109558]	109558	(Trail) O.E. Erikss.	1982	Legitimate
Amarenographium sinense	Amarenographium sinense Joanne E. Taylor, K.D. Hyde & E.B.G. Jones, Fungal Diversity Res. Ser. 12: 245 (2003) [MB#500260]	500260	Joanne E. Taylor, K.D. Hyde & E.B.G. Jones	2003	Legitimate
Amarenographium solium	Amarenographium solium Abdel-Wahab, Hodhod, Bahkali & K.D. Hyde, Cryptog. Mycol. 33 (3): 289 (2012) [MB#800681]	800681	Abdel-Wahab, Hodhod, Bahkali & K.D. Hyde	2012	Legitimate
Arthrographium	Arthrobotryum Ces., Hedwigia: post p. 26, t. 4:1 (1854) [MB#7218]	7223	Ces.	1854	Orthographic variant
Camarographium	Camarographium Bubák, Ber. Deutsch. Bot. Ges. 34: 306 (1916) [MB#7473]	7473	Bubák	1916	Legitimate
Camarographium abietis	Myxocyclus cenangioides (Ellis & Rothr.) Petr., Ann. Mycol. 25: 305 (1927) [MB#260226]	250419	(M. Wilson & R.B. Anderson) Grove	1937	Legitimate
Camarographium atriplicis	Camarographium atriplicis Golovin, Trudy Sredneaz. Univ. 14 (5): 43 (1950) [MB#293959]	293959	Golovin	1950	Legitimate
Camarographium carpini	Neocamarographium carpini (Melnik, Crous & Verkley) Crous, Fungal Syst. Evol. 10: 58 (2022) [MB#844295]	560014	Melnik, Crous & Verkley	2011	Legitimate
Camarographium clematidis	Camarographium clematidis Wijayaw., Camporesi, McKenzie & K.D. Hyde: 71 (2016) [MB#551767]	551767	Wijayaw., Camporesi, McKenzie & K.D. Hyde	2016	Legitimate
Camarographium fructicola	Camarographium fructicola Frolov, Novosti Sist. Nizsh. Rast. 5: 188 (1968) [MB#327338]	327338	Frolov	1968	Legitimate
