Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM1676781v1	GCA_016767815.1	GCF_016767815.1	Penicillium digitatum		PdW03					Annotation submitted by Hangzhou Normal University	26336737	Complete Genome	2021-01-28		6
ASM1676781v1	GCF_016767815.1	GCA_016767815.1	Penicillium digitatum		PdW03					Annotation submitted by Hangzhou Normal University	26336737	Complete Genome	2021-01-28		6
ASM3963440v1	GCA_039634405.1		Penicillium herquei		HGN12.1C (12C)						34932529	Complete Genome	2024-05-14		8
Pf_T2	GCA_040250155.1		Penicillium fuscoglaucum					Pf_T2			35121114	Complete Genome	2024-06-19		5
ASM3598539v1	GCA_035985395.1		Penicillium coffeae					ANU01			30909372	Complete Genome	2024-01-23		7
ASM3442369v1	GCA_034423695.1		Penicillium polonicum		KACC_93368						33750493	Chromosome	2023-12-17		4
ASM172317v3	GCA_001723175.3	GCF_001723175.1	Penicillium oxalicum		HP7-1					Annotation submitted by Guangxi University	30795872	Chromosome	2022-04-25	JRVD02	18
ASM172317v3	GCF_001723175.1	GCA_001723175.3	Penicillium oxalicum		HP7-1					Annotation submitted by Guangxi University	30795872	Chromosome	2022-04-25	JRVD02	18
ASM5152146v1	GCA_051521465.1		Penicillium paneum		OM1						27132231	Chromosome	2025-07-23	JAZGPW01	5
Pfluo_KMR99	GCA_964197705.1	GCF_964197705.1	Penicillium psychrofluorescens					KMR99		Annotation submitted by THE UNIVERSITY OF NEW SOUTH WALES	26257727	Chromosome	2025-01-17	CAXMXA01	8
Pfluo_KMR99	GCF_964197705.1	GCA_964197705.1	Penicillium psychrofluorescens					KMR99		Annotation submitted by THE UNIVERSITY OF NEW SOUTH WALES	26257727	Chromosome	2025-01-17	CAXMXA01	8
ASM2882815v1	GCA_028828155.1	GCF_028828155.1	Penicillium subrubescens		IBT 31985					Annotation submitted by Aalborg University	39968067	Contig	2023-02-23	JAQKAJ01	14
ASM2882815v1	GCF_028828155.1	GCA_028828155.1	Penicillium subrubescens		IBT 31985					Annotation submitted by Aalborg University	39968067	Contig	2023-02-23	JAQKAJ01	14
ASM2756938v1	GCA_027569385.1		Penicillium decumbens		NRRL 741						24142420	Contig	2023-01-04	JAPDEZ01	94
ASM2882782v1	GCA_028827825.1	GCF_028827825.1	Penicillium malachiteum		IBT 17515					Annotation submitted by Aalborg University	35880773	Contig	2023-02-23	JAQJAO01	6
ASM2882782v1	GCF_028827825.1	GCA_028827825.1	Penicillium malachiteum		IBT 17515					Annotation submitted by Aalborg University	35880773	Contig	2023-02-23	JAQJAO01	6
ASM2882825v1	GCA_028828255.1		Penicillium fimorum		IBT 29495					Annotation submitted by Aalborg University	28556969	Contig	2023-02-23	JAPWDS01	7
